,Camber Angle [Left] [Rear] (deg),Toe Angle [Left] [Rear] (deg),Toe Angle [Left] [Front] (deg),Camber Angle [Left] [Front] (deg),Mechanical Trail [Left] [Front] (mm),Mechanical Trail [Left] [Rear] (mm),Upper A-Arm Chassis Aft Z [Left] [Rear] (mm),Upper A-Arm Chassis Fore Z [Left] [Rear] (mm),Tie Rod Chassis Z [Left] [Rear] (mm),Roll Center Z [Rear] (mm),Roll Center Z [Front] (mm),Scrub Radius [Left] [Front] (mm),Scrub Radius [Left] [Rear] (mm),Wheel Center X [Left] [Rear] (mm),Wheel Center Y [Left] [Rear] (mm),Wheel Center Z [Left] [Rear] (mm),Motion [Heave] (mm),Lower A-Arm Chassis Aft Z [Left] [Rear] (mm),Lower A-Arm Chassis Fore Z [Left] [Rear] (mm)
Step [2],-1.662,2.65E-02,-3.07E-02,-1.402,22.066,4.34E-01,291.447,290.427,135.228,51.192,55.223,5.665,10.019,"-1,550.08",588.667,203.115,14.427,135.077,135.077
Step [3],-1.542,4.86E-02,-2.00E-02,-1.171,22.047,6.47E-01,297.137,296.117,140.918,60.111,64.913,5.66,10.014,"-1,550.06",588.557,203.126,20.117,140.767,140.767
Step [4],-1.466,6.77E-02,-5.36E-03,-1.015,22.031,8.05E-01,300.998,299.978,144.779,66.185,71.508,5.654,10.011,"-1,550.03",588.417,203.133,23.978,144.628,144.628
Step [5],-1.439,7.56E-02,1.51E-03,-9.58E-01,22.025,8.66E-01,302.42,301.4,146.201,68.428,73.941,5.651,10.01,"-1,550.02",588.353,203.136,25.4,146.05,146.05
Step [6],-1.466,6.77E-02,-5.36E-03,-1.015,22.031,8.05E-01,300.998,299.978,144.779,66.185,71.508,5.654,10.011,"-1,550.03",588.417,203.133,23.978,144.628,144.628
Step [7],-1.542,4.86E-02,-2.00E-02,-1.171,22.047,6.47E-01,297.137,296.117,140.918,60.111,64.913,5.66,10.014,"-1,550.06",588.557,203.126,20.117,140.767,140.767
Step [8],-1.662,2.65E-02,-3.07E-02,-1.402,22.066,4.34E-01,291.447,290.427,135.228,51.192,55.223,5.665,10.019,"-1,550.08",588.667,203.115,14.427,135.077,135.077
Step [9],-1.817,8.77E-03,-2.65E-02,-1.686,22.082,2.07E-01,284.538,283.518,128.319,40.412,43.498,5.664,10.024,"-1,550.07",588.648,203.098,7.518,128.168,128.168
Step [10],-2,0,0,-2,22.092,0,277.02,276,120.801,28.735,30.785,5.656,10.031,"-1,550.00",588.437,203.076,0,120.65,120.65
Step [11],-2.197,1.34E-03,4.94E-02,-2.319,22.096,-1.67E-01,269.502,268.482,113.283,17.11,18.114,5.638,10.038,"-1,549.88",588.029,203.051,-7.518,113.132,113.132
Step [12],-2.39,1.08E-02,1.15E-01,-2.617,22.095,-2.86E-01,262.593,261.573,106.374,6.469,6.504,5.614,10.046,"-1,549.73",587.48,203.023,-14.427,106.223,106.223
Step [13],-2.559,2.41E-02,1.85E-01,-2.867,22.092,-3.60E-01,256.903,255.883,100.684,-2.267,-3.037,5.589,10.052,"-1,549.57",586.903,202.997,-20.117,100.533,100.533
Step [14],-2.678,3.58E-02,2.40E-01,-3.038,22.089,-3.97E-01,253.042,252.022,96.823,-8.183,-9.502,5.569,10.057,"-1,549.44",586.447,202.978,-23.978,96.672,96.672
Step [15],-2.723,4.07E-02,2.61E-01,-3.102,22.088,-4.08E-01,251.62,250.6,95.401,-10.36,-11.882,5.561,10.059,"-1,549.39",586.265,202.971,-25.4,95.25,95.25
Step [16],-2.678,3.58E-02,2.40E-01,-3.038,22.089,-3.97E-01,253.042,252.022,96.823,-8.183,-9.502,5.569,10.057,"-1,549.44",586.447,202.978,-23.978,96.672,96.672
Step [17],-2.559,2.41E-02,1.85E-01,-2.867,22.092,-3.60E-01,256.903,255.883,100.684,-2.267,-3.037,5.589,10.052,"-1,549.57",586.903,202.997,-20.117,100.533,100.533
Step [18],-2.39,1.08E-02,1.15E-01,-2.617,22.095,-2.86E-01,262.593,261.573,106.374,6.469,6.504,5.614,10.046,"-1,549.73",587.48,203.023,-14.427,106.223,106.223
Step [19],-2.197,1.34E-03,4.94E-02,-2.319,22.096,-1.67E-01,269.502,268.482,113.283,17.11,18.114,5.638,10.038,"-1,549.88",588.029,203.051,-7.518,113.132,113.132
Step [20],-2,0,0,-2,22.092,0,277.02,276,120.801,28.735,30.785,5.656,10.031,"-1,550.00",588.437,203.076,0,120.65,120.65
